KE/eV,PE: 600 eV
290,1709
290.1,1798
290.2,1845
290.3,1722
290.4,1729
290.5,1699
290.6,1727
290.7,1693
290.8,1647
290.9,1684
291,1659
291.1,1650
291.2,1696
291.3,1642
291.4,1599
291.5,1671
291.6,1644
291.7,1540
291.8,1614
291.9,1607
292,1591
292.1,1573
292.2,1552
292.3,1646
292.4,1583
292.5,1584
292.6,1631
292.7,1553
292.8,1506
292.9,1595
293,1590
293.1,1543
293.2,1529
293.3,1533
293.4,1526
293.5,1529
293.6,1472
293.7,1558
293.8,1521
293.9,1534
294,1505
294.1,1477
294.2,1516
294.3,1528
294.4,1442
294.5,1472
294.6,1428
294.7,1482
294.8,1505
294.9,1514
295,1451
295.1,1446
295.2,1505
295.3,1559
295.4,1480
295.5,1456
295.6,1470
295.7,1516
295.8,1501
295.9,1502
296,1488
296.1,1472
296.2,1429
296.3,1490
296.4,1522
296.5,1471
296.6,1557
296.7,1521
296.8,1519
296.9,1517
297,1490
297.1,1466
297.2,1480
297.3,1549
297.4,1506
297.5,1518
297.6,1581
297.7,1556
297.8,1554
297.9,1582
298,1507
298.1,1546
298.2,1608
298.3,1545
298.4,1568
298.5,1670
298.6,1617
298.7,1654
298.8,1744
298.9,1668
299,1634
299.1,1731
299.2,1723
299.3,1702
299.4,1633
299.5,1769
299.6,1726
299.7,1759
299.8,1832
299.9,1776
300,1844
300.1,1774
300.2,1811
300.3,1783
300.4,1747
300.5,1788
300.6,1838
300.7,1806
300.8,1741
300.9,1767
301,1825
301.1,1799
301.2,1816
301.3,1871
301.4,1815
301.5,1827
301.6,1819
301.7,1804
301.8,1851
301.9,1923
302,1805
302.1,1866
302.2,1795
302.3,1804
302.4,1738
302.5,1781
302.6,1900
302.7,1917
302.8,1824
302.9,1777
303,1833
303.1,1883
303.2,1905
303.3,1914
303.4,2046
303.5,2002
303.6,2036
303.7,1982
303.8,2055
303.9,2179
304,2226
304.1,2155
304.2,2358
304.3,2320
304.4,2421
304.5,2577
304.6,2652
304.7,2719
304.8,2955
304.9,3057
305,3189
305.1,3539
305.2,3868
305.3,3949
305.4,4313
305.5,4787
305.6,5083
305.7,5523
305.8,5975
305.9,6442
306,6718
306.1,7355
306.2,7506
306.3,8321
306.4,8215
306.5,8573
306.6,8716
306.7,9046
306.8,9078
306.9,9359
307,9263
307.1,9098
307.2,8957
307.3,8626
307.4,7977
307.5,7626
307.6,7229
307.7,6722
307.8,6234
307.9,5610
308,5037
308.1,4521
308.2,4060
308.3,3693
308.4,3236
308.5,2803
308.6,2481
308.7,2196
308.8,1783
308.9,1660
309,1379
309.1,1259
309.2,1131
309.3,1010
309.4,959
309.5,888
309.6,852
309.7,764
309.8,723
309.9,769
310,652
310.1,642
310.2,622
310.3,583
310.4,567
310.5,617
310.6,564
310.7,543
310.8,526
310.9,483
311,489
311.1,496
311.2,476
311.3,508
311.4,469
311.5,470
311.6,457
311.7,447
311.8,435
311.9,439
312,444
312.1,436
312.2,467
312.3,442
312.4,449
312.5,456
312.6,408
312.7,427
312.8,446
312.9,389
313,432
313.1,426
313.2,456
313.3,429
313.4,448
313.5,451
313.6,400
313.7,427
313.8,445
313.9,425
314,436
314.1,415
314.2,407
314.3,441
314.4,461
314.5,445
314.6,464
314.7,454
314.8,418
314.9,412
315,377
315.1,444
315.2,395
315.3,451
315.4,438
315.5,387
315.6,381
315.7,382
315.8,424
315.9,399
316,460
316.1,426
316.2,409
316.3,413
316.4,431
316.5,389
316.6,357
316.7,413
316.8,382
316.9,416
317,394
317.1,380
317.2,426
317.3,422
317.4,442
317.5,432
317.6,389
317.7,419
317.8,441
317.9,414
318,393
318.1,404
318.2,410
318.3,406
318.4,429
318.5,393
318.6,419
318.7,427
318.8,438
318.9,409
319,426
319.1,382
319.2,403
319.3,414
319.4,394
319.5,396
319.6,417
319.7,421
319.8,411
319.9,429
320,400
320.1,379
320.2,453
320.3,405
320.4,407
320.5,408
320.6,414
320.7,424
320.8,423
320.9,408
321,416
321.1,453
321.2,426
321.3,395
321.4,434
321.5,399
321.6,382
321.7,384
321.8,417
321.9,388
322,426
322.1,394
322.2,438
322.3,404
322.4,418
322.5,404
322.6,407
322.7,387
322.8,398
322.9,413
323,410
323.1,369
323.2,426
323.3,426
323.4,421
323.5,389
323.6,436
323.7,377
323.8,394
323.9,401
324,425
324.1,392
324.2,378
324.3,418
324.4,439
324.5,409
324.6,412
324.7,418
324.8,384
324.9,428
325,393
