BE/eV,PE: 600 eV
545,8.30239
544.8,8.197874
544.6,8.187272
544.4,8.195189
544.2,8.121771
544,8.116025
543.8,8.033022
543.6,7.913207
543.4,8.004564
543.2,7.929674
543,8.022887
542.8,7.864402
542.6,8.022418
542.4,7.912855
542.2,7.828645
542,7.808863
541.8,7.799669
541.6,7.710996
541.4,7.717439
541.2,7.662754
541,7.731974
540.8,7.615068
540.6,7.651813
540.4,7.688565
540.2,7.595574
540,7.525867
539.8,7.488917
539.6,7.596256
539.4,7.44587
539.2,7.485723
539,7.477688
538.8,7.397612
538.6,7.449696
538.4,7.273792
538.2,7.291657
538,7.309724
537.8,7.241001
537.6,7.318027
537.4,7.232539
537.2,7.163646
537,7.230926
536.8,7.277848
536.6,7.295259
536.4,7.144678
536.2,7.146754
536,7.30253
535.8,7.27639
535.6,7.257176
535.4,7.299699
535.2,7.394862
535,7.34618
534.8,7.501924
534.6,7.507144
534.4,7.520224
534.2,7.50146
534,7.781539
533.8,7.767678
533.6,7.789971
533.4,7.956347
533.2,8.039284
533,7.933144
532.8,8.051826
532.6,8.053511
532.4,8.058201
532.2,7.918893
532,7.842079
531.8,7.820955
531.6,7.730577
531.4,7.441809
531.2,7.31755
531,7.175008
530.8,7.020998
530.6,6.834106
530.4,6.738084
530.2,6.465132
530,6.498783
529.8,6.308933
529.6,6.195622
529.4,6.114577
529.2,6.071842
529,6.120541
528.8,6.041092
528.6,6.009141
528.4,5.915896
528.2,5.941462
528,6.037352
527.8,6.017099
527.6,5.893982
527.4,5.928162
527.2,5.846058
527,5.842685
526.8,5.841857
526.6,5.887272
526.4,5.766801
526.2,5.87022
526,5.823931
525.8,5.780795
525.6,5.843256
525.4,5.804671
525.2,5.709889
525,5.807195
524.8,5.739928
524.6,5.826322
524.4,5.697381
524.2,5.845547
524,5.680898
523.8,5.736238
523.6,5.572338
523.4,5.649868
523.2,5.605674
523,5.699037
522.8,5.663034
522.6,5.613978
522.4,5.595292
522.2,5.631352
522,5.686999
521.8,5.665081
521.6,5.618745
521.4,5.569412
521.2,5.560181
521,5.610968
520.8,5.605661
520.6,5.515417
520.4,5.556867
520.2,5.582206
520,5.485799
